,global_seq,global_emo,local_seq,local_emo
0,"Say, Jim, how about going for a few beers after dinner? You know that is tempting but is really not good for our fitness. What do you mean? It will help us to relax. Do you really think so? I don't. It will just make us fat and act silly. Remember last time?",0,I guess you are right.But what shall we do? I don't feel like sitting at home.,0
1,"I suggest a walk over to the gym where we can play singsong and meet some of our friends. That's a good idea. I hear Mary and Sally often go there to play pingpong.Perhaps we can make a foursome with them. Sounds great to me! If they are willing, we could ask them to go dancing with us.That is excellent exercise and fun, too. Good.Let ' s go now.",4,All right.,4
2,"Can you do push-ups? Of course I can. It's a piece of cake! Believe it or not, I can do 30 push-ups a minute. Really? I think that's impossible! You mean 30 push-ups?",0,Yeah!,0
3,"Hey John, nice skates. Are they new? Yeah, I just got them. I started playing ice hockey in a community league. So, I finally got myself new skates. What position do you play? I’ m a defender. It’ s a lot of fun. You don’ t have to be able to skate as fast on defense.",0,"Yeah, you’ re a pretty big guy. I play goalie, myself.",0
4,"Hey Lydia, what are you reading? I’ m looking at my horoscope for this month! My outlook is very positive. It says that I should take a vacation to someplace exotic, and that I will have a passionate summer fling! What are you talking about? Let me see that... What are horoscopes? It’ s a prediction of your month, based on your zodiac sign. You have a different sign for the month and date you were born in. I was born on April 15th, so I’ m an Aries. When were you born?",0,January 5th.,0
5,"Let’ s see... you’ re a Capricorn. It says that you will be feeling stress at work, but you could see new, exciting developments in your love life. Looks like we’ ll both have interesting summers! That’ s bogus. I don't feel any stress at work, and my love life is practically nonexistent. This zodiac stuff is all a bunch of nonsense. No, it’ s not, your astrology sign can tell you a lot about your personality. See? It says that an Aries is energetic and loves to socialize. Well, you certainly match those criteria, but they’ re so broad they could apply to anyone. What does it say about me?",0,A Capricorn is serious-minded and practical. She likes to do things in conventional ways. That sounds just like you!,4
6,"Frank’ s getting married, do you believe this? Is he really? Yes, he is. He loves the girl very much. Who is he marring?",0,"A girl he met on holiday in Spain, I think.",0
7,"I hear you bought a new house in the northern suburbs. That’ s right, we bought it the same day we came on the market. What kind of house is it? It’ s a wonderful Spanish style.",4,"Oh, I love the roof tiles on Spanish style houses.",4
8,"And it’ s a bargaining. A house like this in river side costs double the price. Great, is it a two bedroom house? No, it has three bedrooms and three beds, and has a living room with a twelve-foot ceiling. There’ s a two-car garage. That’ s a nice area too. It’ ll be a good investment for you.",4,"Yeas, when will you buy a house?",0
9,"Hi, Becky, what's up? Not much, except that my mother-in-law is driving me up the wall. What's the problem? She loves to nit-pick and criticizes everything that I do. I can never do anything right when she's around.",0,For example?,0
10,"Well, last week I invited her over to dinner. My husband and I had no problem with the food, but if you listened to her, then it would seem like I fed her old meat and rotten vegetables. There's just nothing can please her. No, I can't see that happening. I know you're a good cook and nothing like that would ever happen. It's not just that. She also criticizes how we raise the kids. My mother-in-law used to do the same thing to us. If it wasn't disciplining them enough, then we were disciplining them too much. She also complained about the food we fed them, the schools we sent them too, and everything else under the sun.",0,You said she used to? How did you stop her?,0
11,"How are Zina's new programmers working out? I hate to admit it, but they're good. And fast. The Filipino kid is a genius. So you'll make the Stars.com deadline, and have us up and running next week? It'll be close, but we'll make it.",0,"Good. After Stars.com starts paying us, we won't need Vikam's cash anymore.",0
12,Do you like cooking? Yes. I like cooking very much. I got this hobby when I was 12 years sold. Why do you like it? I have no idea. I like cooking by myself. I like to taste delicious food.,0,That's wonderful!,4
13,You look so tan and healthy! Thanks. I just got back from summer camp. How was it? Great. I got to try so many things for the first time.,4,Like what?,0
14,"Ah, ah, ah... All right, Bill.Here ' s your daily exercise schedule. You are to jog before breakfast. Jog? Then, you are to walk to work.",0,Walk?,0
15,"Thirty minutes in gym at lunch time. Oh no. Use the stairs, never the elevator. Oh, dear.",0,"And three times a week, you can either swim, play racketball, or hand ball.",0
16,"Oh no. OK, you can stop now.It ' s time for the dance class. Dance class! I don't know how. You will.",0,Oh...,0
